strategy,scenario,municipalities,capacity_margin,iso_code,id
Small Cells,Scenario 3 (300 Mbps),"Alkmaar,Heiloo",-12990.39273,NLD,"Alkmaar,Heiloo"
Spectrum Integration,Scenario 3 (300 Mbps),"Alkmaar,Heiloo",-12856.30227,NLD,"Alkmaar,Heiloo"
Hybrid,Scenario 1 (30 Mbps),Almelo,50408.42655,NLD,Almelo
Small Cells,Scenario 1 (30 Mbps),Almelo,48697.79899,NLD,Almelo
Spectrum Integration,Scenario 1 (30 Mbps),Almelo,-7006.719168,NLD,Almelo
Hybrid,Scenario 2 (100 Mbps),Almelo,48606.69034,NLD,Almelo
Small Cells,Scenario 2 (100 Mbps),Almelo,47656.33748,NLD,Almelo
Spectrum Integration,Scenario 2 (100 Mbps),Almelo,-38963.37764,NLD,Almelo
Hybrid,Scenario 3 (300 Mbps),Almelo,24437.20096,NLD,Almelo
Small Cells,Scenario 3 (300 Mbps),Almelo,24172.21787,NLD,Almelo
Spectrum Integration,Scenario 3 (300 Mbps),Almelo,-130768.2376,NLD,Almelo
Hybrid,Scenario 1 (30 Mbps),Almere,64430.84315,NLD,Almere
Small Cells,Scenario 1 (30 Mbps),Almere,59657.40535,NLD,Almere
Spectrum Integration,Scenario 1 (30 Mbps),Almere,-15067.05092,NLD,Almere
Hybrid,Scenario 2 (100 Mbps),Almere,151176.6763,NLD,Almere
Small Cells,Scenario 2 (100 Mbps),Almere,149829.5604,NLD,Almere
Spectrum Integration,Scenario 2 (100 Mbps),Almere,-96352.43319,NLD,Almere
Hybrid,Scenario 3 (300 Mbps),Almere,126151.4373,NLD,Almere
Small Cells,Scenario 3 (300 Mbps),Almere,125045.6808,NLD,Almere
Spectrum Integration,Scenario 3 (300 Mbps),Almere,-331423.8988,NLD,Almere
Hybrid,Scenario 1 (30 Mbps),Alphen-Chaam,597.74832,NLD,Alphen-Chaam
Small Cells,Scenario 1 (30 Mbps),Alphen-Chaam,597.74832,NLD,Alphen-Chaam
Spectrum Integration,Scenario 1 (30 Mbps),Alphen-Chaam,597.74832,NLD,Alphen-Chaam
